"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000051933,000000051960,2,240,,,,
000000051964,000000017279,2,60,,,,
000000078000,000000026701,2,180,,,,
000000051975,000000073301,2,60,,,,
000000051976,000000054120,2,180,,,,
000000051978,000000037501,2,120,,,,
000000051980,000000051014,2,180,,,,
000000051982,000000051005,2,120,,,,
000000051984,000000051933,2,600,,,,
000000051988,000000041069,2,120,,,,
000000051989,000000045010,2,300,,,,
000000051989,000000045011,2,180,,,,
000000051989,000000045013,2,240,,,,
000000051989,000000045014,2,300,,,,
000000052982,000000080011,2,120,,,,
000000053006,000000053990,2,240,,,,
000000053011,000000039341,2,120,,,,
000000053018,000000053988,2,120,,,,
000000053019,000000053986,2,120,,,,
000000053805,000000054018,2,360,,,,
000000053805,000000054950,2,180,,,,
000000053805,000000549102,2,240,,,,
000000053805,000000549103,2,240,,,,
000000053809,000000053989,2,120,,,,
000000053986,000000053019,2,120,,,,
000000053988,000000053018,2,120,,,,
000000053989,000000053809,2,120,,,,
000000053990,000000053006,2,240,,,,
000000054005,000000054951,2,300,,,,
000000054006,000000054951,2,120,,,,
000000054006,000000549106,2,120,,,,
000000054006,000000549107,2,120,,,,
000000054018,000000053805,2,360,,,,
000000054018,000000054950,2,180,,,,
000000054018,000000549102,2,180,,,,
000000054018,000000549103,2,180,,,,
000000054019,000000054950,2,300,,,,
000000054019,000000549102,2,300,,,,
000000054019,000000549103,2,300,,,,
000000054950,000000053805,2,180,,,,
000000054950,000000054018,2,180,,,,
000000054950,000000054019,2,300,,,,
000000054951,000000054005,2,300,,,,
000000054951,000000054006,2,120,,,,
000000060003,000008002560G,2,240,,,,
000000060005,000000060950,2,180,,,,
000000060007,000000060902,2,180,,,,
000000060007,090000609004,2,180,,,,
000000060007,090000609005,2,180,,,,
000000060010,000000060951,2,120,,,,
000000060010,000000609103,2,120,,,,
000000060010,090000609006,2,120,,,,
000000060010,090000609007,2,120,,,,
000000060012,000000060904,2,120,,,,
000000060012,000000060030,2,180,,,,
000000060015,000000010901,2,120,,,,
000000060015,090000109002,2,120,,,,
000000060015,090000109003,2,120,,,,
000000060018,000000060952,2,180,,,,
000000060018,000000609104,2,180,,,,
000000060018,000000609105,2,180,,,,
000000060021,000000060901,2,120,,,,
000000060021,090000609002,2,120,,,,
000000060021,090000609003,2,120,,,,
000000060024,000000060900,2,180,,,,
000000060024,090000609000,2,180,,,,
000000060024,090000609001,2,180,,,,
000000060900,000000060024,2,180,,,,
000000060901,000000060021,2,120,,,,
000000060902,000000060007,2,180,,,,
000000060904,000000060012,2,120,,,,
