"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
1302_3,66,"156","Steinwerder (Alter Elbtunnel) > %SB Wilhelmsburg",3,"","",""
1303_3,66,"160","%UB Wandsbek Markt > %UB Horner Rennbahn > %UB %SB Berliner Tor",3,"","",""
1305_3,66,"162","%UB Wandsbek Markt > Hohenhorst > Bf. Rahlstedt",3,"","",""
1307_3,66,"164","Bf. Rahlstedt > Freibad Rahlstedt > Seniorensitz Am Hegen",3,"","",""
1308_3,66,"166","%UB %SB Barmbek > %UB Wandsbek-Gartenstadt",3,"","",""
1309_3,66,"168","%SB Wellingsbüttel > %UB Berne > %UB Farmsen > Bf. Rahlstedt",3,"","",""
1310_3,66,"170","Ohlsdorfer Friedhof > Bramfeld (Maisredder)",3,"","",""
1311_3,66,"171","%UB %SB Barmbek > %UB Dehnhaide > %UB Farmsen > Bramfeld (Ost)",3,"","",""
1312_3,66,"172","Uhlenhorst > %UB %SB Barmbek > Hummelsbüttel, Lentersweg",3,"","",""
1313_3,66,"173","Uhlenhorst > %UB %SB Barmbek > Bramfeld, Am Stühm-Süd",3,"","",""
1314_3,66,"174","%UB %SB Ohlsdorf > %UB Fuhlsbüttel  > %SB Poppenbüttel > %UB Volksdorf",3,"","",""
1316_3,66,"176","%UB Ohlstedt > Tannenhof > Poppenbütteler Berg > %SB Poppenbüttel",3,"","",""
1317_3,66,"177","%UB %SB Barmbek > Owiesenstraße > Bramfelder See",3,"","",""
1318_3,66,"178","%UB Garstedt > Glashütte > Heimgarten > %SB Poppenbüttel",3,"","",""
1319_3,66,"179","%UB Borgweg > %UB Alsterdorf > %UB %SB Ohlsdorf > %SB Poppenbüttel",3,"","",""
1320_3,66,"180","%SB Stellingen > Winsbergring > %SB Diebsteich > %SB Holstenstraße",3,"","",""
1321_3,66,"181","Eidelstedt > %UB Hagenbecks Tierpark > %UB %SB Sternschanze",3,"","",""
1322_3,66,"183","Schnelsen (Kalvslohtwiete) > Eidelstedt > Langenfelde > Bf. Altona",3,"","",""
1323_3,66,"191","Schnelsen > %UB Niendorf Markt > Krohnstiegtunnel > %UB Garstedt",3,"","",""
1324_3,66,"192","%UB Langenhorn Markt > Glashütte, Markt",3,"","",""
1325_3,66,"20","Bf. Altona > Eimsbüttel > Eppendorf > City Nord > %SB Rübenkamp",3,"","",""
1326_3,66,"214","Klotzenmoor > %UB Lattenkamp",3,"","",""
1329_3,66,"23","%UB Niendorf Markt > %UB %SB Barmbek > %UB Billstedt",3,"","",""
1330_3,66,"24","%UB Niendorf Markt > %SB Poppenbüttel > Bf. Rahlstedt",3,"","",""
1331_3,66,"240","Neu Wulmstorf, Freibad > %SB Neugraben > Waldfrieden",3,"","",""
1332_3,66,"241","Heykenaubrook > Bf. Harburg > Rönneburg ( Vorderkamp)",3,"","",""
1333_3,66,"245","Marmstorf (Beutnerring) > Bf. Harburg > Groß Moor",3,"","",""
1335_3,66,"25","Bf.Altona > Winterhude > %UB Burgstraße > %SB Hammerbrook",3,"","",""
1336_3,66,"250","Fischbeker Heideweg > %SB Neugraben > Waltershof > Bf. Altona",3,"","",""
